TotalTimeInMins,Servings,Cuisine,Course,Diet
45,6,0,0,0
15,3,1,1,1
30,3,1,2,1
25,3,1,0,1
40,4,1,0,1
35,4,0,3,2
30,4,0,0,1
45,4,1,0,1
25,2,0,2,1
35,3,2,3,1
30,4,3,4,1
15,4,4,4,1
40,4,4,5,1
30,4,4,0,1
15,4,2,0,3
25,4,1,0,1
25,4,0,2,1
35,6,0,2,2
30,4,4,0,1
40,4,0,0,1
40,4,1,6,1
40,9,0,3,1
10,10,2,0,1
40,4,0,0,1
25,4,4,7,1
35,4,1,5,1
45,4,2,1,1
40,6,2,5,1
10,4,0,0,1
25,3,1,3,1
40,2,2,3,4
45,5,0,2,1
30,4,1,0,1
45,3,1,0,5
20,4,4,7,4
35,4,2,0,1
40,4,1,3,6
35,4,1,3,4
45,4,1,3,1
40,4,1,3,0
25,2,4,2,1
30,4,1,3,0
40,4,2,3,4
40,4,2,3,4
30,3,0,2,1
45,3,0,6,1
30,2,0,0,1
40,3,0,6,1
25,4,2,5,1
30,4,0,3,1
40,1,4,7,6
35,1,0,2,1
20,4,1,0,1
25,4,0,1,1
45,4,2,3,1
15,4,0,2,1
40,4,4,7,4
25,4,2,3,0
40,2,2,3,1
10,2,2,4,1
35,4,0,0,1
40,10,0,5,1
40,4,1,0,0
25,2,0,2,1
30,4,2,0,1
30,3,2,3,4
25,4,2,3,0
40,4,1,0,1
45,8,0,5,1
40,4,1,0,1
25,4,2,0,1
35,4,2,4,1
40,4,0,3,1
45,8,0,5,1
25,3,0,0,1
35,5,4,7,2
20,4,0,3,1
40,4,2,6,1
40,4,2,3,1
45,4,4,6,1
30,4,3,3,1
20,4,0,0,1
40,4,0,2,1
35,4,2,6,4
30,4,0,2,1
35,4,2,3,1
10,4,2,0,1
25,4,4,4,1
40,4,2,3,4
40,2,4,4,1
25,5,1,4,2
25,4,0,3,1
20,3,4,4,1
40,4,2,3,4
40,4,1,3,4
40,4,0,5,1
40,5,1,2,4
40,2,4,7,1
15,4,4,0,1
35,4,2,2,1
30,3,2,6,4
40,6,0,2,1
35,6,4,2,1
40,4,0,4,7
45,3,2,6,1
35,4,1,0,4
10,4,1,0,1
20,2,4,7,2
45,2,2,2,1
45,4,4,4,1
40,2,0,3,1
40,4,1,3,1
40,4,3,4,1
45,4,2,3,4
25,5,1,0,1
30,4,4,4,6
45,5,4,2,2
45,4,2,3,1
20,16,4,2,4
45,4,4,1,1
25,4,4,6,7
20,4,2,3,1
15,2,4,7,2
35,4,1,3,1
35,4,1,3,1
30,4,1,2,1
20,4,0,0,1
40,3,2,5,1
45,4,4,5,1
25,2,4,3,4
40,4,0,4,7
40,4,0,3,7
30,6,4,4,1
30,4,1,3,1
30,3,0,0,1
12,6,0,2,7
45,4,2,4,4
15,4,4,7,2
40,4,0,2,1
5,2,4,7,1
30,4,2,0,1
25,4,0,1,1
25,4,4,3,6
45,2,0,6,1
40,4,2,0,5
30,2,1,2,8
40,4,2,3,1
25,3,2,3,1
30,4,4,1,1
25,4,2,3,0
25,2,4,2,1
40,4,4,4,1
15,4,4,5,1
40,3,2,4,1
15,2,0,0,1
45,4,1,3,1
25,6,4,2,1
45,4,2,0,1
30,4,4,4,1
40,4,1,0,1
15,4,0,0,1
40,5,0,2,1
40,2,2,0,4
40,4,2,0,4
10,2,4,7,4
30,4,1,0,1
35,4,0,2,1
25,4,4,7,4
40,4,0,6,3
30,4,2,0,1
20,4,1,0,1
40,4,0,3,1
35,3,0,0,1
15,4,1,0,1
40,3,0,3,1
40,4,0,3,1
40,2,4,4,1
40,4,2,3,1
45,4,4,1,7
30,4,2,3,1
40,4,2,0,1
25,4,2,0,4
30,2,4,1,1
30,3,1,3,1
15,4,1,0,1
40,4,2,3,1
20,4,1,3,1
40,4,2,5,1
30,2,4,7,2
40,4,0,1,6
15,6,0,4,1
40,4,1,6,4
45,4,4,5,2
40,4,1,0,0
20,2,4,7,1
30,2,1,3,1
40,2,2,3,4
40,8,0,5,1
20,3,1,6,1
20,1,4,7,9
40,3,0,0,1
40,2,2,2,1
15,2,0,2,1
40,6,4,5,1
40,2,4,4,1
25,4,2,3,4
40,4,2,2,1
30,4,1,3,5
40,4,0,3,1
40,4,2,5,1
30,5,2,3,4
35,3,2,3,1
30,3,0,5,1
25,2,0,6,1
30,2,2,1,1
30,4,2,2,1
30,4,0,0,1
45,4,2,3,4
35,10,2,0,1
40,3,3,6,7
30,4,4,5,1
30,4,3,6,1
45,4,2,3,4
25,4,4,4,1
40,4,4,7,6
45,10,0,5,1
46,8,2,3,7
40,4,1,1,1
35,4,1,0,1
45,10,4,5,1
35,2,3,4,6
25,3,0,3,1
30,6,0,7,1
25,4,4,4,1
45,4,4,2,1
20,4,1,0,1
40,4,2,0,1
30,5,1,0,1
35,4,2,2,1
45,4,0,3,1
40,4,2,3,6
35,4,4,5,3
25,3,0,6,7
25,3,2,3,4
25,2,4,2,1
25,4,2,3,4
40,4,2,5,1
40,4,2,6,4
30,2,1,2,1
15,2,1,4,1
45,4,2,3,1
45,10,2,5,1
10,4,0,0,1
15,2,4,2,1
40,5,1,0,1
35,4,3,6,1
45,3,2,6,1
40,4,0,2,1
25,4,2,3,4
30,4,0,7,2
20,4,0,2,1
35,4,2,6,1
15,2,4,4,1
40,4,2,2,1
30,4,0,0,1
45,4,2,5,1
25,4,2,3,1
35,4,2,5,1
20,5,2,6,7
40,4,4,5,1
30,4,3,6,1
40,3,2,3,4
45,2,0,5,1
30,4,1,3,5
40,4,0,2,1
30,6,0,0,1
45,2,1,3,1
30,4,4,4,4
40,4,2,3,1
35,4,4,4,1
30,4,2,6,1
35,4,2,1,5
45,4,4,7,2
45,4,0,6,0
45,2,2,2,1
30,2,3,6,1
40,4,0,3,1
40,4,2,3,4
25,2,3,6,1
30,4,0,2,1
30,3,4,1,4
30,4,0,0,0
40,4,4,7,2
